Year,Primary Type,Description,Location Description,Latitude,Longitude
2001,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PUBLIC, BUILDING",41.855999974,-87.657988832
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.74840615,-87.551302411
2001,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,41.922376288,-87.768513294
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.89948777,-87.72729228
2001,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,41.777152692,-87.653079082
2001,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,41.889618694,-87.724550295
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.947741084,-87.755265461
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,41.946427834,-87.714438076
2001,THEFT,OVER $500,STREET,41.76735479,-87.57618565
2001,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,PARKING LOT/GARAGE(NON.RESID.),41.69269264,-87.622964922
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.68937629,-87.66674201
2001,CRIMINAL TRESPASS,TO LAND,OTHER COMMERCIAL TRANSPORTATION,41.875526594,-87.706119265
2001,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,41.747406968,-87.664723879
2001,BURGLARY,FORCIBLE ENTRY,APARTMENT,41.916217378,-87.708487642
2001,BURGLARY,FORCIBLE ENTRY,APARTMENT,41.760474931,-87.688170539
2001,BATTERY,SIMPLE,"SCHOOL, PRIVATE, BUILDING",41.972503027,-87.66353694
2001,BATTERY,SIMPLE,RESIDENCE,41.90102164,-87.693865507
2001,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,41.885398193,-87.668175013
2001,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,41.96027102,-87.715712311
2001,BATTERY,SIMPLE,RESIDENCE,41.81952453,-87.685861251
2001,NARCOTICS,POSS: CRACK,PARKING LOT/GARAGE(NON.RESID.),42.012068627,-87.694807654
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.773738112,-87.605933571
2001,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),41.87161148,-87.683580832
2001,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,RESIDENCE,41.800911021,-87.658838995
2001,BATTERY,SIMPLE,STREET,41.792524618,-87.650037909
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.770582352,-87.687222461
2001,CRIMINAL DAMAGE,TO PROPERTY,OTHER,41.880764166,-87.73153796
2001,THEFT,$500 AND UNDER,STREET,42.019329651,-87.667741541
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.684942448,-87.660791108
2001,THEFT,$500 AND UNDER,STREET,41.850971141,-87.627191838
2001,THEFT,OVER $500,OTHER,41.753663375,-87.68181423
2001,BURGLARY,FORCIBLE ENTRY,DAY CARE CENTER,41.772218347,-87.670907314
2001,THEFT,$500 AND UNDER,GROCERY FOOD STORE,41.906242226,-87.669865281
2001,BATTERY,SIMPLE,APARTMENT,41.756577101,-87.5616229
2001,CRIMINAL DAMAGE,TO PROPERTY,OTHER,41.721091637,-87.64335195
2001,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,41.934661868,-87.714669449
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.767873221,-87.572825462
2001,BATTERY,SIMPLE,STREET,41.772134913,-87.661736027
2001,CRIMINAL TRESPASS,TO STATE SUP LAND,RESIDENCE,41.736481388,-87.545965922
2001,THEFT,$500 AND UNDER,DRUG STORE,41.722260673,-87.582920537
2001,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,41.706209758,-87.6205163
2001,NARCOTICS,POSS: COCAINE,SIDEWALK,41.792064931,-87.625781533
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.906327265,-87.661833926
2001,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,41.880330289,-87.688508608
2001,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,41.929163519,-87.707777006
2001,ROBBERY,ARMED: HANDGUN,STREET,41.966258976,-87.66383768
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.6893903,-87.669161934
2001,THEFT,$500 AND UNDER,CONSTRUCTION SITE,41.873782642,-87.686092336
2001,THEFT,$500 AND UNDER,OTHER,41.91881009,-87.697384299
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.725290469,-87.623976015
2001,ROBBERY,ARMED: HANDGUN,ALLEY,41.769784411,-87.586388282
2001,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, GROUNDS",41.905646048,-87.709902194
2001,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,APARTMENT,41.958711977,-87.731147048
2001,BATTERY,SIMPLE,PARK PROPERTY,41.995369335,-87.655406395
2001,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,41.965426953,-87.657658023
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.744209985,-87.703606357
2001,ROBBERY,ARMED: HANDGUN,SIDEWALK,41.878670149,-87.733081492
2001,BATTERY,SIMPLE,RESIDENCE,41.796096667,-87.65356824
2001,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",42.020750943,-87.672934164
2001,CRIMINAL TRESPASS,TO LAND,RESIDENCE-GARAGE,41.801738627,-87.596550647
2001,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,41.751903802,-87.561250102
2001,BATTERY,AGGRAVATED: HANDGUN,ALLEY,41.748141813,-87.717130483
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.811382632,-87.628129354
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,41.915392766,-87.73397569
2001,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,41.974855942,-87.659978181
2001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,STREET,41.777966594,-87.69594737
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,41.699884117,-87.631220072
2001,BATTERY,SIMPLE,RESIDENCE,41.94606351,-87.760570208
2001,THEFT,OVER $500,STREET,41.961664154,-87.753963062
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,41.808247614,-87.602928041
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,41.769023403,-87.571631509
2001,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,41.665375094,-87.618913713
2001,BATTERY,SIMPLE,STREET,41.873054583,-87.754844758
2001,THEFT,$500 AND UNDER,RESIDENCE,41.851156147,-87.727836807
2001,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE-GARAGE,41.883072579,-87.690607275
2001,THEFT,$500 AND UNDER,STREET,41.92025298,-87.656014682
2001,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CTA BUS,41.953456793,-87.734817677
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.744263668,-87.572770688
2001,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,41.824320784,-87.628845916
2001,THEFT,$500 AND UNDER,CTA TRAIN,41.8833177,-87.633934281
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.760163004,-87.591909762
2001,BURGLARY,FORCIBLE ENTRY,APARTMENT,41.744462627,-87.599998076
2001,THEFT,OVER $500,RESIDENCE,41.748400247,-87.665167979
2001,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,41.965279016,-87.658167009
2001,BATTERY,SIMPLE,STREET,41.798991149,-87.666080348
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),41.796365196,-87.7574346
2001,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),41.917267043,-87.687898079
2001,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,41.738392205,-87.654477572
2001,ROBBERY,ARMED: HANDGUN,STREET,41.774781611,-87.610823317
2001,ASSAULT,SIMPLE,APARTMENT,41.916966663,-87.712047988
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.919084991,-87.787608435
2001,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,41.899293041,-87.63864165
2001,PROSTITUTION,SOLICIT FOR BUSINESS,PARKING LOT/GARAGE(NON.RESID.),41.823667594,-87.638296724
2001,THEFT,$500 AND UNDER,GROCERY FOOD STORE,41.991179462,-87.660155617
2001,THEFT,$500 AND UNDER,SMALL RETAIL STORE,41.999136988,-87.660516902
2001,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,RESIDENCE,41.893443592,-87.713668022
2001,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,CTA PLATFORM,41.885213464,-87.667078886
2001,CRIMINAL DAMAGE,TO VEHICLE,"SCHOOL, PUBLIC, GROUNDS",41.692939715,-87.667909829
2001,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,41.803888873,-87.664995233
2001,ASSAULT,SIMPLE,STREET,41.957278341,-87.774330299
2001,THEFT,$500 AND UNDER,RESIDENCE,41.829655213,-87.614602295
2001,BATTERY,SIMPLE,APARTMENT,41.740994638,-87.606171319
2001,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,41.93215327,-87.679923785
2001,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,41.775405404,-87.61445676
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.651699175,-87.527492734
2001,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,41.867082138,-87.658136544
2001,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,41.909610272,-87.755855757
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.720045176,-87.598502887
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.757081096,-87.641621513
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.89869245,-87.644172582
2001,NARCOTICS,POSS: CRACK,RESIDENCE,41.75472675,-87.635764577
2001,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,41.752183376,-87.702319048
2001,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,41.978104595,-87.669792882
2001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,OTHER,41.998143835,-87.670463991
2001,THEFT,$500 AND UNDER,STREET,41.915790577,-87.648562959
2001,THEFT,$500 AND UNDER,GROCERY FOOD STORE,41.903883485,-87.639440457
2001,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,41.872129306,-87.749330954
2001,THEFT,$500 AND UNDER,BAR OR TAVERN,41.903238688,-87.667262538
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.901565477,-87.706896704
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.902394304,-87.752320875
2001,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,41.886706902,-87.630797754
2001,THEFT,$500 AND UNDER,SMALL RETAIL STORE,41.882696393,-87.631054679
2001,BATTERY,AGGRAVATED: HANDGUN,VACANT LOT/LAND,41.793600012,-87.663488586
2001,ROBBERY,STRONGARM - NO WEAPON,RESTAURANT,41.830951983,-87.621449334
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,41.779902527,-87.630296555
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.749238367,-87.686949137
2001,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,CHA HALLWAY/STAIRWELL/ELEVATOR,41.862118973,-87.693823763
2001,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,41.936236385,-87.761657834
2001,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,41.969039775,-87.650482412
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.79502298,-87.791801301
2001,THEFT,OVER $500,OTHER,41.884157399,-87.632577382
2001,NARCOTICS,POSS: CRACK,SIDEWALK,41.685504527,-87.616662877
2001,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,"SCHOOL, PRIVATE, GROUNDS",41.924013272,-87.755016695
2001,THEFT,$500 AND UNDER,GROCERY FOOD STORE,41.979426783,-87.659808661
2001,ASSAULT,SIMPLE,CHA APARTMENT,41.804196865,-87.627925741
2001,CRIMINAL TRESPASS,TO LAND,GAS STATION,41.801538153,-87.64519995
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.735564583,-87.608925495
2001,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,41.812184109,-87.628153577
2001,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE-GARAGE,41.921522763,-87.737548703
2001,THEFT,OVER $500,GROCERY FOOD STORE,41.895785925,-87.677855752
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.9203853,-87.677868611
2001,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,41.912875247,-87.761756124
2001,THEFT,$500 AND UNDER,STREET,41.803993078,-87.665925756
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.901885053,-87.633008044
2001,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,41.686751263,-87.659904595
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.972264745,-87.701372336
2001,BATTERY,SIMPLE,SIDEWALK,41.775341033,-87.640607802
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.747923775,-87.56481575
2001,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",41.884882198,-87.750481797
2001,BATTERY,AGGRAVATED: HANDGUN,STREET,41.879609082,-87.745359445
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",41.731794292,-87.55283017
2001,BATTERY,SIMPLE,RESIDENCE,41.807056091,-87.652432717
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.726323558,-87.567725467
2001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,OTHER,41.893797199,-87.702006888
2001,BATTERY,AGGRAVATED: HANDGUN,STREET,41.751262313,-87.612901167
2001,CRIMINAL TRESPASS,TO LAND,GAS STATION,41.867347784,-87.625682612
2001,BATTERY,SIMPLE,ALLEY,41.781434441,-87.617065931
2001,BATTERY,SIMPLE,OTHER,41.683863581,-87.615809791
2001,THEFT,OVER $500,STREET,41.78352544,-87.769209242
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.811031874,-87.601880337
2001,NARCOTICS,POSS: CRACK,SIDEWALK,41.896349512,-87.700541926
2001,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,41.789580282,-87.647322656
2001,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,41.939960433,-87.697990154
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,41.876690676,-87.653177498
2001,THEFT,$500 AND UNDER,RESIDENCE,41.880658815,-87.763056829
2001,THEFT,OVER $500,OTHER,41.950504194,-87.664259897
2001,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,41.76702725,-87.612732147
2001,THEFT,$500 AND UNDER,STREET,41.88708964,-87.766595015
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),41.774014026,-87.741987932
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.873008354,-87.758755527
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,41.774966496,-87.694360329
2001,THEFT,$500 AND UNDER,SIDEWALK,41.896651489,-87.622240791
2001,BATTERY,SIMPLE,APARTMENT,41.76084042,-87.6116688
2001,THEFT,OVER $500,SMALL RETAIL STORE,41.910630105,-87.675084457
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.835162041,-87.632664428
2001,ASSAULT,SIMPLE,SIDEWALK,41.743970176,-87.662212831
2001,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,41.943552479,-87.645119551
2001,DECEPTIVE PRACTICE,BOGUS CHECK,OTHER,41.891295702,-87.647208646
2001,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.810005799,-87.639071669
2001,SEX OFFENSE,INDECENT SOLICITATION/CHILD,GOVERNMENT BUILDING/PROPERTY,41.867812172,-87.680454569
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.758701876,-87.557650077
2001,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,RESIDENCE,41.673929331,-87.63230383
2001,BATTERY,AGGRAVATED: HANDGUN,STREET,41.774940975,-87.613039507
2001,BATTERY,SIMPLE,OTHER,41.893432486,-87.602567988
2001,BATTERY,SIMPLE,RESIDENCE,41.833643193,-87.619533426
2001,NARCOTICS,POSS: CRACK,STREET,41.875948948,-87.744959715
2001,BATTERY,SIMPLE,STREET,41.895810339,-87.631377495
2001,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,41.900798151,-87.681933257
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.802670051,-87.603603889
2001,THEFT,$500 AND UNDER,STREET,41.864784816,-87.705475337
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,41.737608508,-87.736243503
2001,BATTERY,SIMPLE,RESIDENCE,41.670672568,-87.639212946
2001,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,41.770945371,-87.618766281
2001,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,42.008192759,-87.66191534
2001,THEFT,$500 AND UNDER,GROCERY FOOD STORE,41.765879961,-87.722587434
2001,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,41.674424382,-87.621317345
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.967370937,-87.726641951
2001,THEFT,$500 AND UNDER,RESTAURANT,41.883317308,-87.634771563
2001,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE,41.892214468,-87.712706613
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.903531602,-87.735971108
2001,BATTERY,SIMPLE,STREET,41.86477575,-87.624238821
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.798744913,-87.646649133
2001,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,41.718985522,-87.645436693
2001,BATTERY,SIMPLE,RESIDENCE,41.804588076,-87.750557234
2001,THEFT,$500 AND UNDER,STREET,41.888544817,-87.749214518
2001,THEFT,OVER $500,STREET,41.917536473,-87.703804816
2001,THEFT,OVER $500,PARK PROPERTY,41.878264548,-87.620825328
2001,THEFT,$500 AND UNDER,CAR WASH,41.910071354,-87.71936696
2001,PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE,41.920488019,-87.716724423
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.746750554,-87.65341111
2001,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,41.906100194,-87.73176295
2001,BATTERY,SIMPLE,RESIDENCE,41.917806282,-87.727953046
2001,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,41.736821814,-87.64743741
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),41.935629815,-87.783553233
2001,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,41.811334561,-87.746985651
2001,THEFT,OVER $500,STREET,41.817973717,-87.606885934
2001,BATTERY,SIMPLE,STREET,41.909255908,-87.71062754
2001,ASSAULT,SIMPLE,TAVERN/LIQUOR STORE,41.795995607,-87.645350926
2001,THEFT,OVER $500,SIDEWALK,41.896867117,-87.622495512
2001,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",41.781492368,-87.63494292
2001,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,41.751001727,-87.627958744
2001,THEFT,$500 AND UNDER,STREET,41.925666654,-87.701630313
2001,THEFT,OVER $500,STREET,41.848267021,-87.638724192
2001,ASSAULT,SIMPLE,RESIDENCE,41.882960016,-87.768361146
2001,DECEPTIVE PRACTICE,FORGERY,SMALL RETAIL STORE,41.925984433,-87.653484649
2001,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),41.793832261,-87.645209039
2001,THEFT,OVER $500,STREET,41.87514977,-87.675074133
2001,THEFT,$500 AND UNDER,STREET,41.765450092,-87.623442178
2001,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,ALLEY,42.021238716,-87.667589144
2001,THEFT,OVER $500,WAREHOUSE,41.797467935,-87.736905763
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,42.021316505,-87.66539125
2001,THEFT,$500 AND UNDER,GROCERY FOOD STORE,41.925268214,-87.653488578
2001,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),41.902969413,-87.683487077
2001,ASSAULT,SIMPLE,RESIDENCE,41.867386788,-87.688220161
2001,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,STREET,41.902841816,-87.719138681
2001,CRIMINAL DAMAGE,TO PROPERTY,CHA HALLWAY/STAIRWELL/ELEVATOR,41.841803737,-87.692932459
2001,CRIMINAL TRESPASS,TO LAND,RESIDENCE,41.771857298,-87.684097308
2001,BATTERY,SIMPLE,RESIDENCE,41.989193009,-87.80673342
2001,BATTERY,SIMPLE,RESIDENCE,41.813864539,-87.712469464
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,41.881652369,-87.637165597
2001,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,41.906225541,-87.762223211
2001,BURGLARY,FORCIBLE ENTRY,APARTMENT,41.751400777,-87.668178602
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.883942997,-87.72340333
2001,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,ALLEY,41.869743199,-87.721658526
2001,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.898802362,-87.715059771
2001,THEFT,$500 AND UNDER,STREET,41.736090738,-87.589479096
2001,NARCOTICS,POSS: CRACK,ALLEY,41.764717302,-87.623431928
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.953773052,-87.648060948
2001,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,41.886695102,-87.659042822
2001,CRIMINAL DAMAGE,TO PROPERTY,STREET,41.765765873,-87.671274268
2001,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,41.749895516,-87.653872653
2001,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,41.936420893,-87.762891096
2001,CRIMINAL DAMAGE,TO PROPERTY,OTHER,41.715300108,-87.598051489
